weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc case,3,Overall,0.97,0.88,0.32,0.74,-0.17,149,20,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc case,3,Overall,0.96,0.87,0.35,0.79,-0.12,149,20,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc case,3,Overall,0.94,0.85,0.33,0.76,-0.18,149,20,NA
10,EuroCOVIDhub-cutoff_mean,inc case,3,Overall,0.96,0.87,0.37,0.79,-0.12,149,20,NA
10,EuroCOVIDhub-cutoff_median,inc case,3,Overall,0.94,0.85,0.32,0.77,-0.19,149,20,NA
10,EuroCOVIDhub-mean,inc case,3,Overall,0.87,0.77,0.38,0.82,-0.15,320,32,NA
10,EuroCOVIDhub-median,inc case,3,Overall,0.88,0.79,0.34,0.77,-0.26,320,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,2,Overall,0.74,0.65,0.45,0.84,-0.18,320,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,2,Overall,0.75,0.66,0.4,0.84,-0.24,320,32,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,Overall,0.72,0.63,0.45,0.85,-0.19,320,32,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,Overall,0.74,0.64,0.42,0.85,-0.26,320,32,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.32,0.75,-0.32,320,32,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc case,2,Overall,0.82,0.73,0.41,0.83,-0.12,145,19,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc case,2,Overall,0.82,0.73,0.36,0.8,-0.14,145,19,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc case,2,Overall,0.81,0.72,0.4,0.83,-0.12,145,19,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc case,2,Overall,0.8,0.72,0.37,0.81,-0.14,145,19,NA
10,EuroCOVIDhub-cutoff_mean,inc case,2,Overall,0.8,0.72,0.41,0.83,-0.12,145,19,NA
10,EuroCOVIDhub-cutoff_median,inc case,2,Overall,0.78,0.71,0.37,0.82,-0.16,145,19,NA
10,EuroCOVIDhub-mean,inc case,2,Overall,0.71,0.63,0.46,0.86,-0.17,320,32,NA
10,EuroCOVIDhub-median,inc case,2,Overall,0.73,0.64,0.38,0.84,-0.25,320,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,1,Overall,0.61,0.53,0.52,0.91,-0.19,320,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,1,Overall,0.63,0.55,0.48,0.87,-0.19,320,32,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,Overall,0.61,0.52,0.51,0.92,-0.19,320,32,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,Overall,0.63,0.54,0.49,0.89,-0.21,320,32,NA
10,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.25,0.82,-0.31,320,32,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc case,1,Overall,0.65,0.6,0.43,0.85,-0.08,141,17,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc case,1,Overall,0.67,0.6,0.4,0.85,-0.1,141,17,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc case,1,Overall,0.64,0.59,0.42,0.85,-0.08,141,17,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc case,1,Overall,0.66,0.6,0.4,0.85,-0.09,141,17,NA
10,EuroCOVIDhub-cutoff_mean,inc case,1,Overall,0.64,0.59,0.43,0.85,-0.09,141,17,NA
10,EuroCOVIDhub-cutoff_median,inc case,1,Overall,0.65,0.59,0.4,0.85,-0.1,141,17,NA
10,EuroCOVIDhub-mean,inc case,1,Overall,0.62,0.53,0.52,0.91,-0.17,320,32,NA
10,EuroCOVIDhub-median,inc case,1,Overall,0.64,0.55,0.51,0.9,-0.2,320,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,4,Overall,0.82,0.66,0.49,0.95,-0.2,308,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,4,Overall,0.83,0.65,0.43,0.89,-0.34,308,32,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,Overall,0.78,0.62,0.49,0.95,-0.21,303,31,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,Overall,0.79,0.63,0.43,0.88,-0.34,303,31,NA
10,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.66,0.91,-0.29,320,32,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc death,4,Overall,0.93,0.73,0.45,0.88,-0.25,264,30,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc death,4,Overall,0.97,0.77,0.41,0.84,-0.3,264,30,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc death,4,Overall,0.89,0.7,0.43,0.89,-0.26,259,29,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc death,4,Overall,0.95,0.74,0.4,0.84,-0.31,259,29,NA
10,EuroCOVIDhub-cutoff_mean,inc death,4,Overall,0.89,0.7,0.46,0.88,-0.25,273,30,NA
10,EuroCOVIDhub-cutoff_median,inc death,4,Overall,0.94,0.74,0.42,0.84,-0.3,273,30,NA
10,EuroCOVIDhub-mean,inc death,4,Overall,0.75,0.61,0.52,0.96,-0.18,320,32,NA
10,EuroCOVIDhub-median,inc death,4,Overall,0.73,0.58,0.47,0.93,-0.34,320,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,3,Overall,0.67,0.53,0.51,0.98,-0.22,310,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,3,Overall,0.69,0.54,0.45,0.9,-0.32,310,32,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,3,Overall,0.64,0.51,0.5,0.98,-0.22,304,31,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,3,Overall,0.67,0.52,0.42,0.9,-0.33,304,31,NA
10,EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.66,0.92,-0.28,320,32,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc death,3,Overall,0.78,0.6,0.46,0.91,-0.24,261,30,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc death,3,Overall,0.82,0.62,0.44,0.87,-0.28,261,30,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc death,3,Overall,0.76,0.58,0.46,0.91,-0.24,255,29,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc death,3,Overall,0.79,0.6,0.43,0.87,-0.29,255,29,NA
10,EuroCOVIDhub-cutoff_mean,inc death,3,Overall,0.76,0.58,0.51,0.92,-0.23,269,30,NA
10,EuroCOVIDhub-cutoff_median,inc death,3,Overall,0.81,0.61,0.45,0.88,-0.29,269,30,NA
10,EuroCOVIDhub-mean,inc death,3,Overall,0.62,0.5,0.54,0.98,-0.21,320,32,NA
10,EuroCOVIDhub-median,inc death,3,Overall,0.63,0.5,0.48,0.92,-0.33,320,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,2,Overall,0.6,0.48,0.54,0.99,-0.2,312,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,2,Overall,0.6,0.47,0.5,0.93,-0.29,312,32,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,Overall,0.59,0.47,0.53,0.99,-0.21,305,31,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,Overall,0.58,0.46,0.5,0.93,-0.3,305,31,NA
10,EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.59,0.93,-0.28,320,32,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc death,2,Overall,0.7,0.54,0.51,0.94,-0.21,259,30,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc death,2,Overall,0.7,0.54,0.49,0.93,-0.25,259,30,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc death,2,Overall,0.68,0.53,0.49,0.94,-0.21,252,29,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc death,2,Overall,0.67,0.52,0.48,0.92,-0.25,252,29,NA
10,EuroCOVIDhub-cutoff_mean,inc death,2,Overall,0.68,0.53,0.52,0.94,-0.21,266,30,NA
10,EuroCOVIDhub-cutoff_median,inc death,2,Overall,0.68,0.53,0.5,0.93,-0.25,266,30,NA
10,EuroCOVIDhub-mean,inc death,2,Overall,0.58,0.47,0.59,0.99,-0.18,320,32,NA
10,EuroCOVIDhub-median,inc death,2,Overall,0.56,0.45,0.53,0.94,-0.28,320,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,1,Overall,0.64,0.56,0.65,0.99,-0.17,314,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,1,Overall,0.62,0.54,0.56,0.96,-0.23,314,32,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,Overall,0.63,0.56,0.63,0.99,-0.18,306,31,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,Overall,0.6,0.54,0.56,0.96,-0.23,306,31,NA
10,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.43,0.95,-0.25,320,32,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc death,1,Overall,0.71,0.61,0.57,0.93,-0.19,257,30,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc death,1,Overall,0.7,0.6,0.54,0.92,-0.21,257,30,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc death,1,Overall,0.71,0.61,0.56,0.94,-0.19,249,29,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc death,1,Overall,0.7,0.59,0.53,0.93,-0.22,249,29,NA
10,EuroCOVIDhub-cutoff_mean,inc death,1,Overall,0.73,0.61,0.57,0.94,-0.19,263,30,NA
10,EuroCOVIDhub-cutoff_median,inc death,1,Overall,0.67,0.6,0.53,0.93,-0.21,263,30,NA
10,EuroCOVIDhub-mean,inc death,1,Overall,0.62,0.55,0.66,0.99,-0.15,320,32,NA
10,EuroCOVIDhub-median,inc death,1,Overall,0.58,0.53,0.58,0.96,-0.23,320,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,4,AT,1.02,0.92,0.3,0.7,-0.02,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,4,AT,1.01,0.93,0.3,0.7,-0.13,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,AT,1.03,0.94,0.4,0.7,-0.03,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,AT,1,0.93,0.3,0.7,-0.16,10,1,Austria
10,EuroCOVIDhub-baseline,inc case,4,AT,1,1,0.4,0.7,-0.63,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc case,4,AT,0.89,0.73,0.4,0.8,-0.18,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc case,4,AT,0.86,0.72,0.4,0.8,-0.23,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc case,4,AT,0.88,0.73,0.4,0.8,-0.19,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc case,4,AT,0.86,0.72,0.4,0.8,-0.23,10,1,Austria
10,EuroCOVIDhub-cutoff_mean,inc case,4,AT,0.89,0.73,0.4,0.8,-0.18,10,1,Austria
10,EuroCOVIDhub-cutoff_median,inc case,4,AT,0.86,0.72,0.4,0.8,-0.21,10,1,Austria
10,EuroCOVIDhub-mean,inc case,4,AT,1.17,0.99,0.4,0.7,0.01,10,1,Austria
10,EuroCOVIDhub-median,inc case,4,AT,1.03,0.98,0.2,0.7,-0.07,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,3,AT,0.86,0.73,0.3,0.7,-0.13,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,3,AT,0.84,0.74,0.3,0.7,-0.18,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,AT,0.86,0.74,0.4,0.8,-0.15,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,AT,0.84,0.73,0.3,0.6,-0.22,10,1,Austria
10,EuroCOVIDhub-baseline,inc case,3,AT,1,1,0.4,0.7,-0.58,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc case,3,AT,0.69,0.58,0.5,0.7,-0.19,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc case,3,AT,0.68,0.58,0.5,0.7,-0.23,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc case,3,AT,0.69,0.58,0.5,0.7,-0.2,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc case,3,AT,0.68,0.58,0.5,0.7,-0.23,10,1,Austria
10,EuroCOVIDhub-cutoff_mean,inc case,3,AT,0.7,0.58,0.5,0.7,-0.19,10,1,Austria
10,EuroCOVIDhub-cutoff_median,inc case,3,AT,0.68,0.58,0.5,0.7,-0.23,10,1,Austria
10,EuroCOVIDhub-mean,inc case,3,AT,0.88,0.76,0.3,0.7,-0.13,10,1,Austria
10,EuroCOVIDhub-median,inc case,3,AT,0.87,0.78,0.3,0.6,-0.16,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,2,AT,0.76,0.66,0.4,0.7,-0.24,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,2,AT,0.74,0.63,0.4,0.7,-0.24,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,AT,0.75,0.65,0.4,0.7,-0.26,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,AT,0.73,0.62,0.3,0.8,-0.27,10,1,Austria
10,EuroCOVIDhub-baseline,inc case,2,AT,1,1,0.2,0.7,-0.55,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc case,2,AT,0.65,0.55,0.4,0.9,-0.2,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc case,2,AT,0.65,0.55,0.4,0.9,-0.2,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc case,2,AT,0.65,0.55,0.4,0.9,-0.2,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc case,2,AT,0.65,0.55,0.4,0.9,-0.2,10,1,Austria
10,EuroCOVIDhub-cutoff_mean,inc case,2,AT,0.65,0.55,0.4,0.9,-0.2,10,1,Austria
10,EuroCOVIDhub-cutoff_median,inc case,2,AT,0.65,0.55,0.4,0.9,-0.2,10,1,Austria
10,EuroCOVIDhub-mean,inc case,2,AT,0.77,0.66,0.3,0.7,-0.27,10,1,Austria
10,EuroCOVIDhub-median,inc case,2,AT,0.75,0.64,0.3,0.7,-0.3,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,1,AT,0.56,0.48,0.5,0.8,-0.3,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,1,AT,0.5,0.42,0.5,0.8,-0.3,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,AT,0.56,0.47,0.5,0.8,-0.31,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,AT,0.51,0.41,0.5,0.8,-0.32,10,1,Austria
10,EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.2,0.7,-0.6,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc case,1,AT,0.43,0.38,0.5,0.8,-0.1,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc case,1,AT,0.43,0.38,0.5,0.8,-0.1,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc case,1,AT,0.43,0.38,0.5,0.8,-0.1,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc case,1,AT,0.43,0.38,0.5,0.8,-0.1,10,1,Austria
10,EuroCOVIDhub-cutoff_mean,inc case,1,AT,0.43,0.38,0.5,0.8,-0.1,10,1,Austria
10,EuroCOVIDhub-cutoff_median,inc case,1,AT,0.43,0.38,0.5,0.8,-0.1,10,1,Austria
10,EuroCOVIDhub-mean,inc case,1,AT,0.57,0.48,0.5,0.8,-0.33,10,1,Austria
10,EuroCOVIDhub-median,inc case,1,AT,0.51,0.43,0.6,0.8,-0.29,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,4,AT,0.81,0.91,0.4,0.9,-0.38,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,4,AT,0.83,1.01,0.3,0.8,-0.52,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,AT,0.86,0.92,0.4,0.9,-0.45,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,AT,0.79,1.03,0.3,0.8,-0.59,10,1,Austria
10,EuroCOVIDhub-baseline,inc death,4,AT,1,1,0.7,1,-0.5,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc death,4,AT,0.83,1.05,0.4,0.7,-0.44,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc death,4,AT,0.9,1.24,0.3,0.6,-0.58,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc death,4,AT,0.85,1.09,0.4,0.7,-0.52,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc death,4,AT,0.91,1.29,0.3,0.6,-0.62,10,1,Austria
10,EuroCOVIDhub-cutoff_mean,inc death,4,AT,0.82,1.04,0.4,0.7,-0.47,10,1,Austria
10,EuroCOVIDhub-cutoff_median,inc death,4,AT,0.94,1.29,0.3,0.6,-0.59,10,1,Austria
10,EuroCOVIDhub-mean,inc death,4,AT,0.8,0.91,0.4,0.9,-0.41,10,1,Austria
10,EuroCOVIDhub-median,inc death,4,AT,0.82,0.97,0.3,0.9,-0.56,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,3,AT,0.9,0.79,0.3,1,-0.42,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,3,AT,0.86,0.89,0.3,0.7,-0.54,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,3,AT,0.82,0.8,0.3,1,-0.47,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,3,AT,0.82,0.91,0.3,0.7,-0.58,10,1,Austria
10,EuroCOVIDhub-baseline,inc death,3,AT,1,1,0.7,1,-0.48,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc death,3,AT,0.86,0.82,0.4,0.9,-0.44,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc death,3,AT,0.89,0.98,0.3,0.7,-0.53,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc death,3,AT,0.91,0.85,0.3,0.8,-0.51,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc death,3,AT,0.93,0.98,0.3,0.7,-0.55,10,1,Austria
10,EuroCOVIDhub-cutoff_mean,inc death,3,AT,0.85,0.82,0.4,0.9,-0.46,10,1,Austria
10,EuroCOVIDhub-cutoff_median,inc death,3,AT,0.91,1,0.3,0.7,-0.54,10,1,Austria
10,EuroCOVIDhub-mean,inc death,3,AT,0.89,0.78,0.3,1,-0.45,10,1,Austria
10,EuroCOVIDhub-median,inc death,3,AT,0.85,0.87,0.3,0.9,-0.55,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,2,AT,0.79,0.65,0.5,1,-0.41,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,2,AT,0.77,0.69,0.3,1,-0.52,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,AT,0.8,0.68,0.3,1,-0.48,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,AT,0.75,0.69,0.3,0.9,-0.54,10,1,Austria
10,EuroCOVIDhub-baseline,inc death,2,AT,1,1,0.5,1,-0.5,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc death,2,AT,0.86,0.73,0.5,0.9,-0.45,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc death,2,AT,0.79,0.71,0.3,0.9,-0.51,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc death,2,AT,0.82,0.76,0.3,0.8,-0.51,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc death,2,AT,0.81,0.74,0.3,0.7,-0.56,10,1,Austria
10,EuroCOVIDhub-cutoff_mean,inc death,2,AT,0.79,0.74,0.4,0.8,-0.48,10,1,Austria
10,EuroCOVIDhub-cutoff_median,inc death,2,AT,0.8,0.73,0.3,0.8,-0.54,10,1,Austria
10,EuroCOVIDhub-mean,inc death,2,AT,0.85,0.65,0.5,1,-0.43,10,1,Austria
10,EuroCOVIDhub-median,inc death,2,AT,0.74,0.69,0.3,0.9,-0.54,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,1,AT,0.79,0.61,0.6,1,-0.35,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,1,AT,0.67,0.62,0.5,0.9,-0.41,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,AT,0.75,0.6,0.5,1,-0.38,10,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,AT,0.72,0.62,0.3,0.9,-0.44,10,1,Austria
10,EuroCOVIDhub-baseline,inc death,1,AT,1,1,0.3,1,-0.48,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc death,1,AT,0.76,0.71,0.4,0.9,-0.41,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc death,1,AT,0.79,0.72,0.4,0.9,-0.43,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc death,1,AT,0.8,0.74,0.4,0.9,-0.44,10,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc death,1,AT,0.87,0.73,0.3,0.9,-0.47,10,1,Austria
10,EuroCOVIDhub-cutoff_mean,inc death,1,AT,0.77,0.72,0.4,0.9,-0.41,10,1,Austria
10,EuroCOVIDhub-cutoff_median,inc death,1,AT,0.81,0.73,0.4,0.9,-0.44,10,1,Austria
10,EuroCOVIDhub-mean,inc death,1,AT,0.72,0.6,0.7,1,-0.36,10,1,Austria
10,EuroCOVIDhub-median,inc death,1,AT,0.7,0.6,0.5,0.9,-0.41,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,4,BE,1.22,1.26,0.4,0.6,-0.37,10,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,4,BE,1.06,1.05,0.5,0.7,-0.51,10,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,BE,1.24,1.27,0.4,0.6,-0.41,10,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,BE,1.08,1.08,0.5,0.7,-0.58,10,1,Belgium
10,EuroCOVIDhub-baseline,inc case,4,BE,1,1,0.6,0.8,-0.43,10,1,Belgium
10,EuroCOVIDhub-mean,inc case,4,BE,1.21,1.24,0.4,0.6,-0.42,10,1,Belgium
10,EuroCOVIDhub-median,inc case,4,BE,1.08,1.07,0.5,0.7,-0.57,10,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,3,BE,0.77,0.84,0.6,0.7,-0.4,10,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,3,BE,0.86,0.88,0.7,0.7,-0.42,10,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,BE,0.78,0.84,0.6,0.7,-0.46,10,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,BE,0.89,0.89,0.6,0.7,-0.47,10,1,Belgium
10,EuroCOVIDhub-baseline,inc case,3,BE,1,1,0.5,0.8,-0.41,10,1,Belgium
10,EuroCOVIDhub-mean,inc case,3,BE,0.79,0.84,0.6,0.7,-0.42,10,1,Belgium
